KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
07311,"FRANKENTHAL(PFALZ),STADT",18250,7900,227,247,33,4,451,2250,2609,7805,6775,6325,123
07312,"KAISERSLAUTERN,STADT",33957,13973,414,495,90,10,708,4033,4397,13630,12042,13291,277
07313,"LANDAU I.D.PFALZ,STADT",18669,8095,215,213,44,4,504,2385,2410,7475,6774,7121,172
07314,"LUDWIGSHAFEN A.RH.,STADT",56629,24016,613,663,281,14,1317,6643,7888,24218,19480,21227,526
07315,"MAINZ,STADT",65795,31767,763,834,225,17,1549,6951,7751,26826,25105,29095,477
07316,"NEUSTADT A.D.WSTR.,STADT",22067,9961,231,157,57,3,555,2707,3055,9249,8398,7803,166
07317,"PIRMASENS,STADT",15895,6490,151,184,25,1,338,1836,2044,6505,5903,5747,105
07318,"SPEYER,STADT",19638,8907,285,181,48,1,415,2274,2681,8218,7619,7338,140
07319,"WORMS,STADT",31443,13005,360,481,72,8,684,3785,4395,13789,11536,10549,195
07320,"ZWEIBRUECKEN,STADT",14188,6278,124,215,25,6,315,1561,1975,6116,5710,4862,90
07331,ALZEY-WORMS,54328,28250,706,427,121,17,1161,6453,7548,24463,23224,19618,408
07332,BAD DUERKHEIM,60498,27539,807,465,151,15,1521,7239,7888,24420,24809,21873,482
07333,DONNERSBERGKREIS,31504,16966,473,245,54,9,686,3825,4480,14511,14010,10995,244
07334,GERMERSHEIM,53655,26900,601,595,92,18,1241,6363,7816,23736,21492,19864,366
07335,KAISERSLAUTERN,45934,20696,498,476,83,12,972,5335,6361,20048,18487,15563,303
07336,KUSEL,31764,14661,309,295,33,12,686,3947,4501,14714,12977,9631,198
07337,SUEDLICHE WEINSTRASSE,50573,24053,539,425,107,18,1425,7162,7320,22095,19856,16388,449
07338,RHEIN-PFALZ-KREIS,71033,28053,828,646,132,19,1892,8198,8740,28595,28108,23437,507
07339,MAINZ-BINGEN,89695,46838,1237,888,287,17,1899,9599,11772,38098,38975,35870,714
07340,SUEDWESTPFALZ,44162,21326,476,401,51,27,1003,5184,5996,19668,18792,14784,303
